group	tool	fold_id	fold_mean_pi
MIX Central Siberia	pixy	9	0.0025090226087544324
MIX Central Siberia	piawka	10	0.007267108383838384
MIX Central Siberia	pixy	10	0.002539917385809693
MIX Central Siberia	piawka	11	0.007246314141414141
MIX Central Siberia	pixy	11	0.0025323618873584553
MIX Central Siberia	piawka	12	0.0072240276767676775
MIX Central Siberia	pixy	12	0.002524758791891428
MIX Central Siberia	piawka	13	0.0071510742424242425
MIX Central Siberia	pixy	13	0.0024913544406231403
MIX Central Siberia	piawka	14	0.007099039898989899
MIX Central Siberia	pixy	14	0.002480005278899516
MIX Central Siberia	piawka	15	0.007176541919191919
MIX Central Siberia	pixy	15	0.0025288068848899697
MIX Central Siberia	piawka	16	0.007192068181818182
MIX Central Siberia	pixy	16	0.002502997482791502
MIX Central Siberia	piawka	17	0.007202180303030303
MIX Central Siberia	pixy	17	0.0024969199251662355
MIX Central Siberia	piawka	18	0.007255339292929293
MIX Central Siberia	pixy	18	0.0025427049089052725
MIX Central Siberia	piawka	19	0.007255343737373738
MIX Central Siberia	pixy	19	0.0025334607269603044
MIX Central Siberia	piawka	20	0.007163771212121211
MIX Central Siberia	pixy	20	0.0025138762941636777
MIX Central Siberia	piawka	21	0.007204324747474748
MIX Central Siberia	pixy	21	0.00250130468036597
MIX Central Siberia	piawka	22	0.007220065252525253
MIX Central Siberia	pixy	22	0.0025237024266249355
MIX Central Siberia	piawka	23	0.007264861919191919
MIX Central Siberia	pixy	23	0.0025447538889236047
MIX Central Siberia	piawka	24	0.007234794747474747
MIX Central Siberia	pixy	24	0.0025314084374680797
MIX Central Siberia	piawka	25	0.007264342424242424
MIX Central Siberia	pixy	25	0.002546880163285007
MIX Central Siberia	piawka	26	0.007242917878787879
MIX Central Siberia	pixy	26	0.002535551231844196
MIX Central Siberia	piawka	27	0.0072353724242424245
MIX Central Siberia	pixy	27	0.0025311722280950146
MIX Central Siberia	piawka	28	0.007254194444444444
MIX Central Siberia	pixy	28	0.0025384154905735965
MIX Central Siberia	piawka	29	0.007260348484848485
MIX Central Siberia	pixy	29	0.0025422499709886674
MIX Central Siberia	piawka	30	0.007265613434343434
MIX Central Siberia	pixy	30	0.0025433466814217096
MIX Central Siberia	piawka	31	0.007261006565656566
MIX Central Siberia	pixy	31	0.002544821696213143
MIX Central Siberia	piawka	32	0.007260339595959596
MIX Central Siberia	pixy	32	0.0025332534137936617
MIX Central Siberia	piawka	33	0.007248683434343434
MIX Central Siberia	pixy	33	0.0025297465704935715
MIX Central Siberia	piawka	34	0.007257520202020203
MIX Central Siberia	pixy	34	0.002537656077613478
MIX Central Siberia	piawka	35	0.00728339797979798
MIX Central Siberia	pixy	35	0.002547316780435884
MIX Central Siberia	piawka	36	0.007277093232323233
MIX Central Siberia	pixy	36	0.0025462004712698224
MIX Central Siberia	piawka	37	0.0072785201010101015
MIX Central Siberia	pixy	37	0.0025457055236384565
MIX Central Siberia	piawka	38	0.007277674646464647
MIX Central Siberia	pixy	38	0.0025465184593323493
MIX Central Siberia	piawka	39	0.007250460404040404
MIX Central Siberia	pixy	39	0.0025359134076916533
MIX Central Siberia	piawka	40	0.007241677777777778
MIX Central Siberia	pixy	40	0.0025252553222425388
MIX Central Siberia	piawka	41	0.007268074747474748
MIX Central Siberia	pixy	41	0.002534535468222791
MIX Central Siberia	piawka	42	0.007257455757575757
MIX Central Siberia	pixy	42	0.0025438210458904576
MIX Central Siberia	piawka	43	0.007268131717171717
MIX Central Siberia	pixy	43	0.002539383925351202
MIX Central Siberia	piawka	44	0.007240453737373737
MIX Central Siberia	pixy	44	0.002540148449203079
MIX Central Siberia	piawka	45	0.007261122929292929
MIX Central Siberia	pixy	45	0.002538918388554106
MIX Central Siberia	piawka	46	0.0072568405050505045
MIX Central Siberia	pixy	46	0.0025411209896328943
MIX Central Siberia	piawka	47	0.007251044343434344
MIX Central Siberia	pixy	47	0.0025343195721619707
MIX Central Siberia	piawka	48	0.007190579292929293
MIX Central Siberia	pixy	48	0.0024986822195890352
MIX Central Siberia	piawka	49	0.007208671414141415
MIX Central Siberia	pixy	49	0.002503336833492002
MIX Central Siberia	piawka	50	0.007266444141414142
MIX Central Siberia	pixy	50	0.0025391939518084796
MIX Central Siberia	piawka	51	0.007274228484848485
MIX Central Siberia	pixy	51	0.0025406801240424716
MIX Central Siberia	piawka	52	0.007267299595959596
MIX Central Siberia	pixy	52	0.0025462895126924516
MIX Central Siberia	piawka	53	0.007240672727272727
MIX Central Siberia	pixy	53	0.0025358336344530595
MIX Central Siberia	piawka	54	0.007251599191919192
MIX Central Siberia	pixy	54	0.0025314841866516165
MIX Central Siberia	piawka	55	0.007271427070707071
MIX Central Siberia	pixy	55	0.0025446334828164627
MIX Central Siberia	piawka	56	0.007228806262626263
MIX Central Siberia	pixy	56	0.0025233344587120023
MIX Central Siberia	piawka	57	0.007162217676767677
MIX Central Siberia	pixy	57	0.0025154566206329284
MIX Central Siberia	piawka	58	0.007230886060606061
MIX Central Siberia	pixy	58	0.0025211901239438456
MIX Central Siberia	piawka	59	0.00716844292929293
MIX Central Siberia	pixy	59	0.0024970372132369404
MIX Central Siberia	piawka	60	0.00721080202020202
MIX Central Siberia	pixy	60	0.0025114870954685586
MIX Central Siberia	piawka	61	0.0072397656565656564
MIX Central Siberia	pixy	61	0.0025351831903456918
MIX Central Siberia	piawka	62	0.00725066101010101
MIX Central Siberia	pixy	62	0.002537818349865466
MIX Central Siberia	piawka	63	0.007178458080808081
MIX Central Siberia	pixy	63	0.002510637817297913
MIX Central Siberia	piawka	64	0.007203106565656566
MIX Central Siberia	pixy	64	0.0025304908519537747
MIX Central Siberia	piawka	65	0.007233033939393939
MIX Central Siberia	pixy	65	0.0025303559387309465
MIX Central Siberia	piawka	66	0.007209493333333333
MIX Central Siberia	pixy	66	0.002520300741015208
MIX Central Siberia	piawka	67	0.007256242525252526
MIX Central Siberia	pixy	67	0.002541037626891266
MIX Central Siberia	piawka	68	0.007261483838383838
MIX Central Siberia	pixy	68	0.0025417674934104244
MIX Central Siberia	piawka	69	0.007265526868686869
MIX Central Siberia	pixy	69	0.0025459423204661023
MIX Central Siberia	piawka	70	0.007245335858585858
MIX Central Siberia	pixy	70	0.0025327512698781847
MIX Central Siberia	piawka	71	0.00727060090909091
MIX Central Siberia	pixy	71	0.0025403427912548487
MIX Central Siberia	piawka	72	0.00726787797979798
MIX Central Siberia	pixy	72	0.002543943151109009
MIX Central Siberia	piawka	73	0.007266045151515151
MIX Central Siberia	pixy	73	0.00254684001864951
MIX Central Siberia	piawka	74	0.007235709393939394
MIX Central Siberia	pixy	74	0.0025373113957727522
MIX Central Siberia	piawka	75	0.007222309696969697
