sample_id	source_class	missing_rate	piawka_pi	pixy_pi	piawka_theta_w	pixy_theta_w	piawka_theta_low	piawka_pi_minus_theta_w	pixy_pi_minus_theta_w	piawka_pi_minus_theta_low	piawka_theta_w_rel_to_nomiss	pixy_theta_w_rel_to_nomiss	piawka_pi_minus_theta_w_rel_to_nomiss	pixy_pi_minus_theta_w_rel_to_nomiss	piawka_pi_minus_theta_low_rel_to_nomiss
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep63	bneck	0.0	0.0477089	0.0477090280963375	0.170268	0.1702698332144599	0.0746618	-0.1225591	-0.1225608051181224	-0.026952900000000002	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep64	bneck	0.0	0.0471997	0.0471997454589618	0.170268	0.1702698332144599	0.073554	-0.1230683	-0.1230700877554981	-0.026354299999999997	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep65	bneck	0.0	0.0470523	0.0470523180438698	0.17027	0.1702698332144599	0.0740553	-0.12321770000000001	-0.1232175151705901	-0.027003000000000006	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep66	bneck	0.0	0.0472636	0.0472635693193084	0.170261	0.1702698332144599	0.0742401	-0.12299739999999999	-0.12300626389515151	-0.0269765	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep67	bneck	0.0	0.0488159	0.0488160993306635	0.170261	0.1702698332144599	0.0757332	-0.1214451	-0.1214537338837964	-0.026917299999999998	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep68	bneck	0.0	0.0489879	0.0489880701126567	0.170269	0.1702698332144599	0.0762543	-0.1212811	-0.1212817631018032	-0.027266399999999996	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep69	bneck	0.0	0.0476574	0.0476573795628631	0.17027	0.1702698332144599	0.0742981	-0.1226126	-0.1226124536515968	-0.026640700000000003	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep70	bneck	0.0	0.0500625	0.0500624800181739	0.170269	0.1702698332144599	0.0760749	-0.1202065	-0.120207353196286	-0.026012399999999998	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep71	bneck	0.0	0.0466397	0.0466397350261405	0.170268	0.17026983321446	0.0733925	-0.1236283	-0.12363009818831949	-0.0267528	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep72	bneck	0.0	0.0490363	0.0490362826582778	0.170269	0.17026983321446	0.075938	-0.1212327	-0.12123355055618218	-0.026901700000000008	1.0	1.0	1.0	1.0	1.0
